inst/#,actual,predicted,probability
1,1.0,0.000,0.9244164953440561
2,0.0,0.000,0.9244164953440561
3,0.0,0.000,0.5948018747337026
4,0.0,0.000,0.8901808785529716
5,0.0,0.000,0.9923550647695901
6,0.0,0.000,0.9923550647695901
7,1.0,1.000,0.5454545454545454
8,0.0,0.000,0.9244164953440561
9,0.0,0.000,0.9923550647695901
10,0.0,0.000,0.5948018747337026
11,0.0,0.000,0.5948018747337026
12,0.0,0.000,0.7284587378640777
13,0.0,0.000,0.9244164953440561
14,1.0,0.000,0.7284587378640777
15,1.0,0.000,0.7284587378640777
16,0.0,0.000,0.9244164953440561
17,0.0,0.000,0.9244164953440561
18,0.0,0.000,0.5948018747337026
19,0.0,0.000,0.9244164953440561
20,1.0,0.000,0.8901808785529716
21,0.0,0.000,0.9244164953440561
22,0.0,0.000,0.9244164953440561
23,0.0,0.000,0.9244164953440561
24,0.0,0.000,0.9244164953440561
25,1.0,0.000,0.7284587378640777
26,0.0,0.000,0.5948018747337026
27,0.0,0.000,0.9244164953440561
28,1.0,0.000,0.875
29,0.0,0.000,0.7284587378640777
30,0.0,1.000,0.8333333333333334
31,0.0,0.000,0.9923550647695901
32,0.0,0.000,0.9244164953440561
33,0.0,0.000,0.9244164953440561
34,1.0,1.000,1.0
35,1.0,0.000,0.7284587378640777
36,0.0,0.000,0.7284587378640777
37,0.0,0.000,0.5948018747337026
38,0.0,0.000,0.9923550647695901
39,1.0,0.000,0.875
40,0.0,0.000,0.7284587378640777
41,0.0,0.000,0.7284587378640777
42,0.0,0.000,0.9244164953440561
43,0.0,0.000,0.8901808785529716
44,0.0,0.000,0.9923550647695901
45,0.0,0.000,0.9923550647695901
46,0.0,0.000,0.9244164953440561
47,0.0,0.000,0.9244164953440561
48,1.0,0.000,0.8901808785529716
49,0.0,0.000,0.9244164953440561
50,0.0,0.000,0.9244164953440561
51,0.0,0.000,0.9244164953440561
52,0.0,0.000,0.9244164953440561
53,0.0,0.000,0.9923550647695901
54,1.0,0.000,0.7284587378640777
55,0.0,0.000,0.7284587378640777
56,0.0,0.000,0.9923550647695901
57,1.0,0.000,0.7284587378640777
58,0.0,0.000,0.9923550647695901
59,0.0,0.000,0.7284587378640777
60,0.0,0.000,0.9244164953440561
61,0.0,0.000,0.9923550647695901
62,0.0,0.000,0.9244164953440561
63,0.0,0.000,0.9244164953440561
64,0.0,1.000,1.0
65,0.0,0.000,0.8901808785529716
66,0.0,0.000,0.7284587378640777
